row ID,row m/z,row retention time,10_QC.CDF Peak area,11_Callo_52_9mg_3.CDF Peak area,12_Brote_14_5mg_1.CDF Peak area,13_Brote_50 _ 1mg_3.CDF Peak area,15_Brote_76_08mg_1.CDF Peak area,14_Brote_44_2 mg_2.CDF Peak area,16_Brote_25_ 3 mg_1.CDF Peak area,17_Brote_33_5 mg_3.CDF Peak area,18_Brote_6_6mg_2.CDF Peak area,19_Brote_22_3mg_2.CDF Peak area,20_Brote_6_6mg_1.CDF Peak area,21_QC.CDF Peak area,22_Brote_76_08mg_2.CDF Peak area,23_Brote_50 _ 1mg_2.CDF Peak area,24_Brote_33_4mg_1.CDF Peak area,25_Brote_44_2 mg_3.CDF Peak area,26_Brote_6_8mg_1.CDF Peak area,27_Brote_12_5mg_2.CDF Peak area,28_Brote_24_ 8mg_3.CDF Peak area,29_Brote_25_ 3 mg_3.CDF Peak area,30_Brote_33_4mg_2.CDF Peak area,31_Brote_22_3mg_3.CDF Peak area,32_QC.CDF Peak area,34_Brote_14_5mg_2.CDF Peak area,36_Callo_40_2mg_1.CDF Peak area,35_Brote_76_08mg_3.CDF Peak area,37_Brote_27_8 mg_1.CDF Peak area,38_Callo_40_2mg_3.CDF Peak area,39_Callo_52_9mg_1.CDF Peak area,40_Brote_6_6mg_2.CDF Peak area,41_Brote_12_5mg_3.CDF Peak area,42_Callo_56_2mg_2.CDF Peak area,43_Brote_33_5 mg_2.CDF Peak area,44_QC.CDF Peak area,45_Callo_52_9mg_2.CDF Peak area,46_Brote_33_4mg_3.CDF Peak area,47_Brote_12_5mg_1.CDF Peak area,48_Brote_6_8mg_3.CDF Peak area,49_Brote_27_8 mg_2.CDF Peak area,50_Brote_24_ 8mg_1.CDF Peak area,51_Brote_33_5 mg_1.CDF Peak area,52_Brote_14_5mg_3.CDF Peak area,53_Brote_24_ 8mg_2.CDF Peak area,54_Brote_44_2 mg_1.CDF Peak area,55_QC.CDF Peak area,57_Brote_27_8 mg_3.CDF Peak area,58_Brote_22_3mg_1.CDF Peak area,59_Callo_40_2mg_2.CDF Peak area,5_Ext_blank.CDF Peak area,60_Brote_50 _ 1mg_1.CDF Peak area,61_Callo_56_2mg_3.CDF Peak area,62_Callo_56_2mg_1.CDF Peak area,63_Brote_6_8mg_2.CDF Peak area,64_Brote_25_ 3 mg_2.CDF Peak area,65_QC.CDF Peak area,66_QC.CDF Peak area,9_QC.CDF Peak area
961,0,41.15,12.629182622474,0.0,27.76499575587148,0.0,0.0,257.6593073436731,0.0,6.920411812855099,24.74915051406459,9.123114103643713,25.63070524775425,35.500857894817756,22.826592142425948,0.0,13.681022334903435,5.144995953848568,0.0,618.2296303601182,8.326178329135578,0.0,20.84893360454261,11.316824655147185,2.726823293030057,17.079939350975128,38.36946838311231,16.42362848541168,7.270180647146339,934.192661924516,220.4912338898636,31.266624593906297,6.503480084199969,0.0,37.45240719160186,24.76460501736059,628.4525831214994,21.730202423636733,341.1443253535841,9.010451313597548,28.476683870555238,54.18556425751029,27.044800954257042,12.242004779113406,2.6922679348135548,150.46035090656392,11049.17687515354,8.248013057508851,261.21701888838504,43.752280684930156,6.750400294666664,238.88341150682763,0.0,4846.255898062771,13.411989068376556,363.1712363139663,20.848589078113054,14675.422349779688,0.0
962,0,41.15,1378.0765462556928,16539.590413644517,408.03026144959296,1954.863524389005,0.0,0.0,91.82152770904385,248.80562501984247,0.0,92.90618408505104,268.28763348097766,139.07858362777276,0.0,1131.1821707287986,0.0,0.0,3870.2824765066825,369.3507189746412,271.4842427878239,123.9429146514349,19.848165246154498,181.76505239654026,96.87884245250751,224.9863847647264,367.9244424177587,19.70149738331136,0.0,298.1099887714318,98.69318256589943,249.5379270172581,0.0,272.8766768715567,38.336911457927975,1699.86413569714,0.0,0.0,55.728747333535544,482.91902373503854,65.46935026602276,5.700888789665602,32.259142418777216,168.94962364572686,24.45222242180708,11.034713101265002,0.0,302.54637759679434,193.22049790462776,581.9113916121023,25.18584671772345,32.24731665514991,0.0,0.0,20.403448461060965,11.235967109972611,102.89281794240529,422.63911314216733,1701.6805567229105
963,0,41.15,691.6073009915747,2370.5718287108393,110.05365027151508,0.0,12624.651595318292,0.0,2542.7671902377483,24.24201848502325,84.77300356035866,168.8304536307767,334.62174487951364,47.24192417283331,62.03125791106358,0.0,84.32092332631817,39.57605199941536,0.0,0.0,75.67222030616756,137.7710479036107,124.3575988513852,45.520650565514956,618.4971613971371,86.4239003398205,14.536495500261733,0.0,353.775421531467,51.39603626923746,135.8495177691874,60.29536313339858,63.53867411063808,112.43484690911907,207.00914192448025,0.0,128.82244997911437,119.51360373068012,68.38668638975405,46.86683121703921,56.55522091185366,65.75700097503949,14.614509336074025,2.4069556244868893,1240.179506068677,99.2008907559143,34.184163194566345,0.0,524.9591367677107,20.011324427944068,30.20913221644624,280.49731204528246,0.0,242.57345719676243,31.061087899645035,12.360474911062768,75.64495340259595,0.0,0.0
964,0,41.24,21.245431637771933,0.5709015468929345,23.54517328912624,25217.83274532908,524.741079748669,30.153070985436297,19.680060183852746,2.8904174461063765,34.588859748439205,17.624853436640905,28.316489870217037,13.889981946667627,69.38694224272082,23.470015239372202,5.464729676976732,8.658556396203522,18.808820301452702,979.9581625161737,18.482644544010387,30.47771315035102,17.61002428751557,235.2400769112101,14.21118801605138,16.761251406818463,14.870075823463464,3.9395777654132003,10.524290191624713,0.07648351401413854,30.69901128047054,8.312268217994884,12.447996010483909,6.137068300163794,23.07681969163543,0.6981462179383511,23.275532558828463,10.602712819883779,42.054703590037946,11.624869070145776,19.49775851378859,28.232484920904355,8.224142559375856,530.4253050782438,27.862231831314176,33.83953097425455,0.19859536661807525,21.398181736442695,10.803933550205656,260.57378215929714,5.372145100632904,214.9277714816874,29.805317222611297,43.2583381411966,6.091755295493543,27.382181016803465,10.4121217534394,17.89477562973896,13.453694993235993
965,0,41.28,270.3245464955328,0.0,211.96295045009774,0.0,969.2976893541744,3053.0257758089447,434.15471574182214,991.9928613173144,2285.083889351917,26.014125470092694,2121.9270099277687,208.36713194765971,852.3797506022714,1416.8054682100726,680.5749647795296,3183.629925826069,94.4505054054872,8090.8911671149845,327.67447519368113,399.1363803804105,86.2228144301013,278.26083314169387,108.14927917084823,291.8085701973445,10969.787202266594,158.38075781965404,454.7263605678585,10883.564695818302,0.0,1758.0575702885285,6213.75899772739,0.0,272.50458544246044,227.6579788782974,229.57787575067638,96.75822402344843,4850.12842549823,0.0,129.70287121027314,0.0,158.77932691362292,1555.6484797343007,0.0,4658.388942298528,100.83175050667884,200.7510630879897,164.75888660934453,5776.794573818271,297.62597622965615,573.2831313816297,0.0,0.0,301.3099896524031,445.57338594454797,806.2143633065424,690.2134944012753,136.31178836588498
966,0,41.28,192.2104424473053,1584.2250277355195,2214.900039634409,3435.1404817640705,2132.353350481986,252.47628646536225,371.4736621135505,2209.1867492225892,4362.849907765836,681.1887885428562,253.9348438911524,1930.7513225831226,781.7789249494182,352.90910302580033,1155.1245072994566,0.0,2636.940605908345,538.8016082283182,1591.0024891039538,1282.4930436193242,987.412449187926,387.5074062680142,2236.6547313215115,1700.9342910284713,0.0,1849.7521384794106,1355.122159534626,1877.2693625848474,1923.6135476215804,538.7880826443487,3692.3177495285713,354.14710453357384,694.5660727541432,3131.337356004691,610.4085806597216,666.0866270261578,1446.8763877997162,1766.103096932822,2911.059655736692,4593.499525730573,714.7188013581186,284.32351262794964,5843.704008861176,1402.3307054967036,2690.042910040328,513.0198164675705,981.334371242638,0.0,290.59531297490605,534.3862184021715,294.23974605118036,1209.5147702747702,612.1987759445401,577.5249341979368,631.0617698695044,1064.471473259964,1613.726429797883
967,0,41.39,2681.301235702739,1788.1020917021042,3088.942275433695,974.7558639332754,3832.908979286937,3429.314212149788,1398.4539421566485,975.5081223567332,1363.3133833203672,1829.3821288090646,3130.1742654560285,2298.9608333913793,7333.144567995208,9318.55121002991,2867.841332399099,2793.978800979804,2231.2354177920924,2131.1979585826734,1279.3202140543856,1806.7791376068387,666.852178762383,1570.1290516882236,5022.654783094753,2629.437919125656,686.1931018500337,2741.9947460985713,1726.5490778762514,1402.9440820816485,3660.9813444988536,3808.8268314779107,2727.384225690628,2428.4934418076955,3614.6142202628334,1233.3918523538425,2823.172444271649,1746.9392084275323,2946.909112918133,2466.701030038468,720.4821270046913,2130.000193714628,2901.882912055097,3599.0053478995137,738.513773368814,1366.1225085390415,298.35867837355596,1253.7983664513647,810.9950164052266,1794.0281985104307,242.5454993127317,0.0,0.0,183.60404724344107,1995.7472258546973,2843.482915863503,2192.6174227213523,1242.5837640239056,2749.4242458370873
968,0,41.39,0.0,782.5638365145958,0.0,1508.0191586121607,0.0,172.53106461966954,0.0,458.6163437404213,2.0997975286039106,0.7499161016438681,14.81224043892102,90.07942082216609,0.0,0.0,633.9577523109617,0.0,10.341168868876576,243.310155691544,64.82669729709188,108.2288666686663,47.642132295926196,387.2154180245637,59.82858509663747,0.0,0.0,0.0,0.0,4.0059263828039215,177.34821031885414,0.35917231197898297,110.67414445251491,0.0,0.0,75.85251473756284,0.0,0.0,371.84694419268,0.0,10.161788167418962,18.759614799989052,0.0,14.20737628364925,68.42416607173726,2423.9556324187524,552.6029829271837,0.0,6.5482485026440544,819.8957545270767,21.77074896868525,8346.576566036732,12255.351151860728,12699.186507151788,85.6678712536523,121.93878120857524,1218.6265430381895,274.31613714948423,270.90772851504556
969,0,41.39,704.5379798279573,1218.0084196356993,0.0,2756.4360083991523,329.34590782658336,629.9667549398135,795.008234861972,22.21393316011381,15.401405848118882,306.98312281508726,29.548083667088523,26.16068748819499,0.0,741.7824979792343,56.23900655260446,466.9701865772746,0.0,12.437894946926674,3.4070792060180612,8.961873180155097,0.0,0.0,78.05775405288028,6.719235019715251,31.667992323554223,259.4283224443512,0.0,4.80396090587,87.90387218992937,18.2368010447908,34.76116967590021,2417.0935241933257,0.0,62.69381702426625,1777.0698073857952,0.0,365.51995449624513,28.354385870170677,0.0,37.42199874429554,62.68476264155573,18.12504118628617,53.392678115892686,2624.730520004434,1227.250132717234,199.70893771594254,0.0,0.0,0.0,5536.935749025165,13330.790030515343,0.0,45.84347792537975,9.701608739627236,1219.497723997172,691.6540325569061,0.0
970,0,41.57,11349.33179262602,9328.458640686817,12882.14698921073,9802.265417133653,11092.477495600502,10422.258375463878,14748.836271748038,9140.836025962026,111196.13930787543,15898.917597309064,121055.72419465936,23774.395030918487,15130.408510993815,14116.288895169175,11339.395193914585,14192.59180560282,16873.500478163707,33647.61639169667,40748.88807583437,18991.085342315146,10817.2391302329,19781.709011052142,24968.396910967767,35868.64520647022,16789.852142002426,14817.388610653788,13691.959186218533,17850.415968467878,24579.115805949903,114965.0068496044,34729.594748850956,31600.097678987575,16702.89725672968,26476.295573209292,28339.998142707238,11929.11262011057,33295.4325258089,26307.650725966403,13701.433107318768,45546.535775625125,12222.423363964279,33839.98879036725,46494.183794840275,12672.81348504045,21209.850586775163,11625.183622890241,14438.686201484285,19074.160082598097,208.13282986300428,13841.616358974434,33243.340029667685,33383.23541834939,23671.469400742077,34658.20844440009,15709.468756664455,22284.730366221607,13019.114987262845
971,0,41.70,1867.0207007936056,1504.4264528472463,1925.390226426448,1833.1158623457934,1844.1181849088207,776.4260731205674,315.825992709202,1137.38062399364,250.22024737304957,914.0958539125833,0.0,423.3087487186067,5644.391839897712,1002.0333550702395,1151.6009984709506,200.03828283782212,1985.9756052101638,347.95294809419767,3664.3819651899976,0.0,1401.8723575543604,944.0450536605794,1354.8069352889268,542.9692146988862,28.51573287409289,0.0,1214.3615179708604,2133.341867627873,1737.607281782118,0.0,2082.263232052158,876.7602879875767,399.8722149941896,535.676577480458,2113.2856881669845,837.0932289931145,1568.2357947621717,1450.0202811193426,2005.6345374041546,1909.3842331347726,0.0,908.9221627585016,3899.691869088833,152.5554091473035,0.0,138.280657073301,516.0792228819494,562.5211155856225,325.4992288783402,2203.6718847817147,0.0,406.98440184777604,784.2477110730847,0.0,1307.320193116104,812.9425872165166,1394.989071585424
972,0,41.70,0.0,0.0,311.6613588013861,664.1980397250211,297.6737561236393,485.51544582414965,5440.648039366983,0.0,0.0,1258.610376925995,0.0,1239.9604607650456,0.0,517.2414353720629,171.92609375791454,906.230213427421,0.0,375.9112603066165,160.934167174074,9906.038575111397,560.9493586523821,48.86280726499119,667.4382974345632,680.6110026382652,1598.08094021655,1355.8865514749175,494.9544019664963,110.77691462990852,810.1571411727764,1644.1380195649972,258.4009993603106,1436.5543238350087,1902.600475374246,158.4659996755501,0.0,1004.9660036599208,690.9579698493411,0.0,1113.5203732758318,864.6465549909932,1251.1179739620184,187.59951601527408,535.0374764526424,165.20012247830118,0.0,513.3607530135754,922.0248963896944,567.9697168140514,466.7570442096205,0.0,72.9818950447157,10.470194382295528,0.0,7636.524392698876,1185.827015713275,1183.0272438459876,528.7281509085003
973,0,41.70,166.78972532587073,52.79338315551414,163.40430835379703,332.5205861510297,0.0,0.0,0.0,45.437878007032865,660.676950779008,212.00581131288794,0.0,28.442032675294413,0.0,93.27303107725807,176.12883557702844,73.29045324405213,201.50721858996394,0.0,89.52097459908079,0.0,64.47784925979818,61.366114131086675,178.51448649056005,97.04015908013254,100.29758252029349,255.61323349168708,188.6030336734787,0.0,0.0,0.0,72.87050851055312,559.9514760653672,44.17721447176169,0.0,151.13260907948305,0.0,742.6008413533908,0.0,0.0,114.85726811343716,857.1208563140193,519.8479394162797,114.34192186747522,121.702473660285,2319.241954502122,0.0,0.0,208.2867940698221,100.90765111320398,0.20546715966301196,4454.826638844892,3786.0788838980397,9.108308803516607,83.95516833392561,55.12908948736314,0.0,0.0
974,0,41.70,0.0,7.449752480585864,0.0,0.0,40.602260966005616,21.89279930329813,296.8589351112209,4.027928614244408,3794.216931293255,26.145803765538627,4034.3960278533723,305.21149456888213,17.356970025230716,0.0,0.0,0.0,0.0,194.46214615239398,0.0,322.27774339392937,0.0,0.0,592.0227157037511,225.3577328833865,214.24189795436837,4.828291159313639,0.0,171.01107803702752,0.78128133532558,422.99448251280717,0.0,528.405557805081,9.032034943507409,11.004098199131642,845.8890149256398,11.721825059572794,28.584112548081798,0.0,0.0,579.8063935531129,242.85602720770942,0.0,0.0,363.893574591126,385.40285642811966,0.0,216.23195148447644,0.0,0.0,5.37939654023663,2.144751581152083,0.0,0.0,0.0,7.638427183691395,546.2811158062349,6.963472419377878
975,0,41.82,104687.7062112842,10209.15692705296,11573.099366585997,7067.070273176612,6259.013364662349,5735.485340042257,5986.608401151922,5818.3754971508415,149892.72548367974,7598.3817638596265,147212.0706214715,141735.72332994494,7442.50561606788,8895.348014929586,11369.516023169692,4915.653642207719,528133.2943888468,257026.83354575574,2.9544241679339027,7449.867360063751,11408.473252103855,9834.12312400521,161159.32918647805,15655.822734502504,6300.150545447069,7870.213010822975,6012.425044134657,6634.071793072008,13041.493836142095,156753.24335463007,258381.36134766185,14135.907011464573,13839.546162016277,176803.21858395427,14905.102558093833,12466.843609075486,245013.35987077173,622376.3715799722,17666.05436337089,0.7000184310955325,11942.072047183809,15667.211053038547,0.5842798240014315,5587.73984015865,151908.11655641047,10459.950839822945,11150.040207695005,8139.931748899106,1649.297806181986,8258.760604252755,11854.65537884584,13100.235047398899,647454.223659516,18443.16230036385,138063.3711992525,166381.75383440466,103822.70206723746
976,0,41.87,34245.92834604004,35.24060636668306,295.25723604374195,332.4913510816875,479.9635648011055,416.6504237505156,1392.8047688394565,1098.8108471036328,957.1424327817335,2001.0576827936086,1131.5926596621111,50689.18302388983,215.37623088029324,213.20628552495808,1815.1640913462866,796.2674050579953,803.3962740749771,473.38641864312103,1077550.603681937,1690.988900466191,1719.0261198695325,1599.0952375307168,42212.63661371377,1405.4515027675727,1143.4159090876954,718.3557483885312,1342.9603486309227,597.8339625790962,1394.9870335438934,1551.9034639480506,350.07159601778534,2178.2622809977192,1051.9504165039548,52417.14575193057,1668.0509231855285,1062.073967508916,1613.6110699393387,1776.6604954529614,1110.9497995722288,1134556.820340502,1670.4132261803675,2598.109634876343,1161128.9785535345,638.9447936120242,29461.06207858356,1049.5203361445517,1045.7612712876428,4.311061600451533,28.8551414533558,604.6842004609089,2081.7519593918214,2732.8172956319645,2210.1538361272264,1884.3037055159884,44303.5945718873,42422.73425340362,40683.35983306786
