Unknown: Rt: 49.6558 (Align ID: 1) @ 16-Hydroxyhexadecanoic acid (2TMS)Compound in Library Factor = N/A
Hit 41 : <<11-Tricosene>>;<<C23H46>>; MF: 548; RMF: 755; Prob: -1.00; CAS:52078-56-5; Mw: 322; Lib: <<mainlib>>; Id: 6711; RI: 2287.
Hit 42 : <<Octyl tetracosyl ether>>;<<C32H66O>>; MF: 668; RMF: 754; Prob: -1.00; CAS:0; Mw: 466; Lib: <<mainlib>>; Id: 29072; RI: 3252.
Hit 43 : <<1-Heptadecene>>;<<C17H34>>; MF: 609; RMF: 754; Prob: -1.00; CAS:6765-39-5; Mw: 238; Lib: <<replib>>; Id: 2165; RI: 1692.
Hit 44 : <<Octadecanoic acid, 2-hydroxy-, methyl ester>>;<<C19H38O3>>; MF: 714; RMF: 753; Prob: -1.00; CAS:2420-35-1; Mw: 314; Lib: <<mainlib>>; Id: 6681; RI: 0.
Hit 45 : <<Carbonic acid, allyl heptadecyl ester>>;<<C21H40O3>>; MF: 678; RMF: 753; Prob: -1.00; CAS:0; Mw: 340; Lib: <<mainlib>>; Id: 94696; RI: 0.
Hit 46 : <<Eicosyl octyl ether>>;<<C28H58O>>; MF: 669; RMF: 753; Prob: -1.00; CAS:0; Mw: 410; Lib: <<mainlib>>; Id: 29070; RI: 2860.
Hit 47 : <<Hexadecane-1,2-diol>>;<<C16H34O2>>; MF: 654; RMF: 752; Prob: -1.00; CAS:6920-24-7; Mw: 258; Lib: <<replib>>; Id: 14870; RI: 0.
Hit 48 : <<2-Hexadecanol>>;<<C16H34O>>; MF: 641; RMF: 752; Prob: -1.00; CAS:14852-31-4; Mw: 242; Lib: <<mainlib>>; Id: 19683; RI: 1702.
Hit 49 : <<2-Methyl-7-nonadecene>>;<<C20H40>>; MF: 625; RMF: 751; Prob: -1.00; CAS:219750-68-2; Mw: 280; Lib: <<mainlib>>; Id: 8574; RI: 0.
Hit 50 : <<Dodecane, 6-cyclohexyl->>;<<C18H36>>; MF: 650; RMF: 750; Prob: -1.00; CAS:13151-86-5; Mw: 252; Lib: <<mainlib>>; Id: 28484; RI: 1760.
Hit 51 : <<Sulfurous acid, butyl heptadecyl ester>>;<<C21H44O3S>>; MF: 649; RMF: 750; Prob: -1.00; CAS:0; Mw: 376; Lib: <<mainlib>>; Id: 29246; RI: 0.
Hit 52 : <<Sulfurous acid, cyclohexylmethyl octadecyl ester>>;<<C25H50O3S>>; MF: 645; RMF: 750; Prob: -1.00; CAS:0; Mw: 430; Lib: <<mainlib>>; Id: 87028; RI: 0.
Hit 53 : <<Dichloroacetic acid, tridecyl ester>>;<<C15H28Cl2O2>>; MF: 644; RMF: 750; Prob: -1.00; CAS:0; Mw: 310; Lib: <<mainlib>>; Id: 8504; RI: 0.
Hit 54 : <<Methyl 2-hydroxy-pentadecanoate>>;<<C16H32O3>>; MF: 711; RMF: 749; Prob: -1.00; CAS:0; Mw: 272; Lib: <<mainlib>>; Id: 40800; RI: 0.
Hit 55 : <<1-Dodecanol, 2-hexyl->>;<<C18H38O>>; MF: 671; RMF: 749; Prob: -1.00; CAS:110225-00-8; Mw: 270; Lib: <<mainlib>>; Id: 27973; RI: 0.
Hit 56 : <<Oxalic acid, cyclobutyl octadecyl ester>>;<<C24H44O4>>; MF: 656; RMF: 749; Prob: -1.00; CAS:0; Mw: 396; Lib: <<mainlib>>; Id: 23039; RI: 0.
Hit 57 : <<Cyclotetradecane, 1,7,11-trimethyl-4-(1-methylethyl)->>;<<C20H40>>; MF: 651; RMF: 749; Prob: -1.00; CAS:1786-12-5; Mw: 280; Lib: <<mainlib>>; Id: 23066; RI: 1981.
Hit 58 : <<Sulfurous acid, cyclohexylmethyl hexadecyl ester>>;<<C23H46O3S>>; MF: 637; RMF: 749; Prob: -1.00; CAS:0; Mw: 402; Lib: <<mainlib>>; Id: 87026; RI: 0.
Hit 59 : <<Docosyl isobutyl ether>>;<<C26H54O>>; MF: 693; RMF: 748; Prob: -1.00; CAS:0; Mw: 382; Lib: <<mainlib>>; Id: 29057; RI: 2626.
Hit 60 : <<1-Decanol, 2-octyl->>;<<C18H38O>>; MF: 669; RMF: 748; Prob: -1.00; CAS:45235-48-1; Mw: 270; Lib: <<mainlib>>; Id: 27897; RI: 0.
Hit 61 : <<Tridecane, 6-cyclohexyl->>;<<C19H38>>; MF: 661; RMF: 747; Prob: -1.00; CAS:13151-91-2; Mw: 266; Lib: <<mainlib>>; Id: 29617; RI: 1757.
Hit 62 : <<Trichloroacetic acid, hexadecyl ester>>;<<C18H33Cl3O2>>; MF: 643; RMF: 747; Prob: -1.00; CAS:74339-54-1; Mw: 386; Lib: <<mainlib>>; Id: 8564; RI: 2405.
Hit 63 : <<2-Dodecanol>>;<<C12H26O>>; MF: 584; RMF: 747; Prob: -1.00; CAS:10203-28-8; Mw: 186; Lib: <<mainlib>>; Id: 19609; RI: 0.
Hit 64 : <<Carbonic acid, but-2-yn-1-yl eicosyl ester>>;<<C25H46O3>>; MF: 679; RMF: 746; Prob: -1.00; CAS:0; Mw: 394; Lib: <<mainlib>>; Id: 29641; RI: 2817.
Hit 65 : <<Carbonic acid, allyl hexadecyl ester>>;<<C20H38O3>>; MF: 668; RMF: 746; Prob: -1.00; CAS:0; Mw: 326; Lib: <<mainlib>>; Id: 4330; RI: 0.
