Unknown: UnknownID=0|RT=49.652                                       Compound in Library Factor = N/A
Hit 2  : <<Docosane  [M]+.  70eV>>;<<C22H46>>; MF: 799; RMF: 868; Prob: -1.00; CAS:0; Mw: 310; Lib: <<ikiam_npl_gcms_lib>>; Id: 12; RI: 2200.
Hit 3  : <<Octadecane  [M]+.  70eV>>;<<C18H38>>; MF: 791; RMF: 856; Prob: -1.00; CAS:0; Mw: 254; Lib: <<ikiam_npl_gcms_lib>>; Id: 8; RI: 1800.
Hit 4  : <<Nonadecane  [M]+.  70eV>>;<<C19H40>>; MF: 789; RMF: 856; Prob: -1.00; CAS:0; Mw: 268; Lib: <<ikiam_npl_gcms_lib>>; Id: 9; RI: 1900.
Hit 5  : <<Eicosane  [M]+.  70eV>>;<<C20H42>>; MF: 786; RMF: 852; Prob: -1.00; CAS:0; Mw: 282; Lib: <<ikiam_npl_gcms_lib>>; Id: 10; RI: 2000.
Hit 6  : <<Octane, 2,7-dimethyl->>;<<C10H22>>; MF: 671; RMF: 852; Prob: -1.00; CAS:1072-16-8; Mw: 142; Lib: <<mainlib>>; Id: 8433; RI: 928.
Hit 7  : <<Triacontane  [M]+.  70eV>>;<<C30H62>>; MF: 790; RMF: 850; Prob: -1.00; CAS:0; Mw: 422; Lib: <<ikiam_npl_gcms_lib>>; Id: 20; RI: 3000.
Hit 8  : <<Heneicosane  [M]+.  70eV>>;<<C21H44>>; MF: 780; RMF: 846; Prob: -1.00; CAS:0; Mw: 296; Lib: <<ikiam_npl_gcms_lib>>; Id: 11; RI: 2100.
Hit 9  : <<2-Bromotetradecane>>;<<C14H29Br>>; MF: 762; RMF: 846; Prob: -1.00; CAS:74036-95-6; Mw: 276; Lib: <<mainlib>>; Id: 29178; RI: 0.
Hit 10 : <<Hexadecane  [M]+.  70eV>>;<<C16H34>>; MF: 752; RMF: 842; Prob: -1.00; CAS:0; Mw: 226; Lib: <<ikiam_npl_gcms_lib>>; Id: 6; RI: 1600.
Hit 11 : <<Tricosane  [M]+.  70eV>>;<<C23H48>>; MF: 781; RMF: 841; Prob: -1.00; CAS:0; Mw: 324; Lib: <<ikiam_npl_gcms_lib>>; Id: 13; RI: 2300.
Hit 12 : <<1-Iodo-2-methylundecane>>;<<C12H25I>>; MF: 741; RMF: 840; Prob: -1.00; CAS:73105-67-6; Mw: 296; Lib: <<mainlib>>; Id: 27888; RI: 0.
Hit 13 : <<Decane, 2,9-dimethyl->>;<<C12H26>>; MF: 723; RMF: 839; Prob: -1.00; CAS:1002-17-1; Mw: 170; Lib: <<mainlib>>; Id: 8688; RI: 1126.
Hit 14 : <<Nonadecane, 2-methyl->>;<<C20H42>>; MF: 775; RMF: 838; Prob: -1.00; CAS:1560-86-7; Mw: 282; Lib: <<mainlib>>; Id: 27908; RI: 1962.
Hit 15 : <<Hexadecane, 3-methyl->>;<<C17H36>>; MF: 774; RMF: 838; Prob: -1.00; CAS:6418-43-5; Mw: 240; Lib: <<mainlib>>; Id: 27618; RI: 1671.
Hit 16 : <<Pentadecane  [M]+.  70eV>>;<<C15H32>>; MF: 736; RMF: 837; Prob: -1.00; CAS:0; Mw: 212; Lib: <<ikiam_npl_gcms_lib>>; Id: 5; RI: 1500.
Hit 17 : <<Tetracosane  [M]+.  70eV>>;<<C24H50>>; MF: 793; RMF: 835; Prob: -1.00; CAS:0; Mw: 338; Lib: <<ikiam_npl_gcms_lib>>; Id: 14; RI: 2400.
Hit 18 : <<Eicosane, 1-iodo->>;<<C20H41I>>; MF: 782; RMF: 835; Prob: -1.00; CAS:0; Mw: 408; Lib: <<mainlib>>; Id: 29051; RI: 2519.
Hit 19 : <<Nonadecane>>;<<C19H40>>; MF: 766; RMF: 835; Prob: -1.00; CAS:629-92-5; Mw: 268; Lib: <<replib>>; Id: 7437; RI: 1900.
Hit 20 : <<Octadecane>>;<<C18H38>>; MF: 771; RMF: 832; Prob: -1.00; CAS:593-45-3; Mw: 254; Lib: <<replib>>; Id: 7392; RI: 1800.
Hit 21 : <<Tetradecane, 1-iodo->>;<<C14H29I>>; MF: 768; RMF: 832; Prob: -1.00; CAS:19218-94-1; Mw: 324; Lib: <<replib>>; Id: 7762; RI: 0.
Hit 22 : <<Undecane, 2,10-dimethyl->>;<<C13H28>>; MF: 737; RMF: 832; Prob: -1.00; CAS:17301-27-8; Mw: 184; Lib: <<mainlib>>; Id: 8646; RI: 1227.
Hit 23 : <<Pentacosane  [M]+.  70eV>>;<<C25H52>>; MF: 787; RMF: 829; Prob: -1.00; CAS:0; Mw: 352; Lib: <<ikiam_npl_gcms_lib>>; Id: 17; RI: 2500.
Hit 24 : <<Octacosane, 2-methyl->>;<<C29H60>>; MF: 786; RMF: 829; Prob: -1.00; CAS:1560-98-1; Mw: 408; Lib: <<mainlib>>; Id: 29150; RI: 2863.
Hit 25 : <<Tridecane, 2-methyl->>;<<C14H30>>; MF: 744; RMF: 829; Prob: -1.00; CAS:1560-96-9; Mw: 198; Lib: <<mainlib>>; Id: 27991; RI: 1364.
Hit 26 : <<Eicosane, 2-methyl->>;<<C21H44>>; MF: 791; RMF: 828; Prob: -1.00; CAS:1560-84-5; Mw: 296; Lib: <<mainlib>>; Id: 27889; RI: 2063.
Hit 27 : <<Heptadecane  [M]+.  70eV>>;<<C17H36>>; MF: 753; RMF: 827; Prob: -1.00; CAS:0; Mw: 240; Lib: <<ikiam_npl_gcms_lib>>; Id: 7; RI: 1700.
Hit 28 : <<Sulfurous acid, butyl decyl ester>>;<<C14H30O3S>>; MF: 668; RMF: 827; Prob: -1.00; CAS:0; Mw: 278; Lib: <<mainlib>>; Id: 29805; RI: 0.
Hit 29 : <<Undecane, 3,9-dimethyl->>;<<C13H28>>; MF: 725; RMF: 825; Prob: -1.00; CAS:17301-31-4; Mw: 184; Lib: <<mainlib>>; Id: 29110; RI: 0.
Hit 30 : <<Heptadecane, 2-methyl->>;<<C18H38>>; MF: 759; RMF: 824; Prob: -1.00; CAS:1560-89-0; Mw: 254; Lib: <<replib>>; Id: 2669; RI: 1765.
Hit 31 : <<Sulfurous acid, butyl undecyl ester>>;<<C15H32O3S>>; MF: 710; RMF: 823; Prob: -1.00; CAS:0; Mw: 292; Lib: <<mainlib>>; Id: 29241; RI: 0.
Hit 32 : <<Hexacosane  [M]+.  70eV>>;<<C26H54>>; MF: 781; RMF: 822; Prob: -1.00; CAS:0; Mw: 366; Lib: <<ikiam_npl_gcms_lib>>; Id: 24; RI: 2600.
Hit 33 : <<Heptacosane>>;<<C27H56>>; MF: 778; RMF: 822; Prob: -1.00; CAS:593-49-7; Mw: 380; Lib: <<replib>>; Id: 7409; RI: 2700.
Hit 34 : <<Tetradecane, 3-methyl->>;<<C15H32>>; MF: 754; RMF: 822; Prob: -1.00; CAS:18435-22-8; Mw: 212; Lib: <<mainlib>>; Id: 28002; RI: 1470.
Hit 35 : <<Sulfurous acid, butyl nonyl ester>>;<<C13H28O3S>>; MF: 618; RMF: 821; Prob: -1.00; CAS:0; Mw: 264; Lib: <<mainlib>>; Id: 29240; RI: 0.
Hit 36 : <<Borane, diethyl(decyloxy)->>;<<C14H31BO>>; MF: 611; RMF: 821; Prob: -1.00; CAS:0; Mw: 226; Lib: <<mainlib>>; Id: 29238; RI: 0.
Hit 37 : <<Pentadecane, 3-methyl->>;<<C16H34>>; MF: 752; RMF: 820; Prob: -1.00; CAS:2882-96-4; Mw: 226; Lib: <<mainlib>>; Id: 27675; RI: 1570.
Hit 38 : <<Hexadecane, 2-methyl->>;<<C17H36>>; MF: 750; RMF: 820; Prob: -1.00; CAS:1560-92-5; Mw: 240; Lib: <<replib>>; Id: 7412; RI: 1664.
Hit 39 : <<Tridecane, 3-methyl->>;<<C14H30>>; MF: 734; RMF: 820; Prob: -1.00; CAS:6418-41-3; Mw: 198; Lib: <<replib>>; Id: 7119; RI: 1371.
Hit 40 : <<Tridecanol, 2-ethyl-2-methyl->>;<<C16H34O>>; MF: 730; RMF: 820; Prob: -1.00; CAS:0; Mw: 242; Lib: <<mainlib>>; Id: 28979; RI: 0.
Hit 41 : <<Pentadecane, 2-methyl->>;<<C16H34>>; MF: 747; RMF: 819; Prob: -1.00; CAS:1560-93-6; Mw: 226; Lib: <<replib>>; Id: 2759; RI: 1563.
Hit 42 : <<Octane>>;<<C8H18>>; MF: 573; RMF: 818; Prob: -1.00; CAS:111-65-9; Mw: 114; Lib: <<replib>>; Id: 2803; RI: 800.
Hit 43 : <<Hexadecane, 2,6,10,14-tetramethyl->>;<<C20H42>>; MF: 754; RMF: 816; Prob: -1.00; CAS:638-36-8; Mw: 282; Lib: <<replib>>; Id: 7741; RI: 1795.
Hit 44 : <<Heptadecane, 2,6,10,15-tetramethyl->>;<<C21H44>>; MF: 774; RMF: 815; Prob: -1.00; CAS:54833-48-6; Mw: 296; Lib: <<mainlib>>; Id: 29114; RI: 1889.
Hit 45 : <<Heptacosane  [M]+.  70eV>>;<<C27H56>>; MF: 774; RMF: 814; Prob: -1.00; CAS:0; Mw: 380; Lib: <<ikiam_npl_gcms_lib>>; Id: 25; RI: 2700.
Hit 46 : <<Dodecane, 3-methyl->>;<<C13H28>>; MF: 717; RMF: 813; Prob: -1.00; CAS:17312-57-1; Mw: 184; Lib: <<mainlib>>; Id: 27934; RI: 1271.
Hit 47 : <<Dodecane, 2-methyl->>;<<C13H28>>; MF: 692; RMF: 813; Prob: -1.00; CAS:1560-97-0; Mw: 184; Lib: <<mainlib>>; Id: 8681; RI: 1264.
Hit 48 : <<Hexadecane>>;<<C16H34>>; MF: 742; RMF: 812; Prob: -1.00; CAS:544-76-3; Mw: 226; Lib: <<mainlib>>; Id: 28063; RI: 1600.
Hit 49 : <<Eicosane>>;<<C20H42>>; MF: 752; RMF: 811; Prob: -1.00; CAS:112-95-8; Mw: 282; Lib: <<replib>>; Id: 7402; RI: 2000.
Hit 50 : <<Undecane, 3,8-dimethyl->>;<<C13H28>>; MF: 704; RMF: 811; Prob: -1.00; CAS:17301-30-3; Mw: 184; Lib: <<mainlib>>; Id: 27930; RI: 0.
Hit 51 : <<Sulfurous acid, 2-ethylhexyl isohexyl ester>>;<<C14H30O3S>>; MF: 663; RMF: 811; Prob: -1.00; CAS:0; Mw: 278; Lib: <<mainlib>>; Id: 27836; RI: 0.
Hit 52 : <<Heptadecane>>;<<C17H36>>; MF: 745; RMF: 810; Prob: -1.00; CAS:629-78-7; Mw: 240; Lib: <<replib>>; Id: 7380; RI: 1700.
Hit 53 : <<Tetradecane  [M]+.  70eV>>;<<C14H30>>; MF: 698; RMF: 810; Prob: -1.00; CAS:0; Mw: 198; Lib: <<ikiam_npl_gcms_lib>>; Id: 4; RI: 1400.
Hit 54 : <<Sulfurous acid, decyl 2-ethylhexyl ester>>;<<C18H38O3S>>; MF: 670; RMF: 810; Prob: -1.00; CAS:0; Mw: 334; Lib: <<mainlib>>; Id: 28991; RI: 0.
Hit 55 : <<Sulfurous acid, 2-ethylhexyl hexyl ester>>;<<C14H30O3S>>; MF: 642; RMF: 809; Prob: -1.00; CAS:0; Mw: 278; Lib: <<mainlib>>; Id: 29000; RI: 0.
