Unknown: Rt: 54.1566 (Align ID: 1) @ Phenoxyacetic acid              Compound in Library Factor = N/A
Hit 18 : <<3-Cyclohexene-1-carboxaldehyde, 4-methyl->>;<<C8H12O>>; MF: 420; RMF: 701; Prob: -1.00; CAS:7560-64-7; Mw: 124; Lib: <<mainlib>>; Id: 133501; RI: 1024.
Hit 19 : <<Bromoacetone>>;<<C3H5BrO>>; MF: 389; RMF: 701; Prob: -1.00; CAS:598-31-2; Mw: 136; Lib: <<replib>>; Id: 2328; RI: 793.
Hit 20 : <<(2S,4R)-p-Mentha-[1(7),8]-diene 2-hydroperoxide>>;<<C10H16O2>>; MF: 384; RMF: 698; Prob: -1.00; CAS:0; Mw: 168; Lib: <<mainlib>>; Id: 82028; RI: 1381.
Hit 21 : <<Octatriene, 1,3-trans-5-trans->>;<<C8H12>>; MF: 243; RMF: 697; Prob: -1.00; CAS:33580-04-0; Mw: 108; Lib: <<mainlib>>; Id: 61242; RI: 0.
Hit 22 : <<3,7-Octadien-2-one, (E)->>;<<C8H12O>>; MF: 287; RMF: 694; Prob: -1.00; CAS:25172-06-9; Mw: 124; Lib: <<mainlib>>; Id: 10601; RI: 0.
Hit 23 : <<3-Methyl-2-(2-oxopropyl)furan>>;<<C8H10O2>>; MF: 295; RMF: 691; Prob: -1.00; CAS:87773-62-4; Mw: 138; Lib: <<mainlib>>; Id: 28459; RI: 0.
Hit 24 : <<Andrographolide>>;<<C20H30O5>>; MF: 625; RMF: 688; Prob: -1.00; CAS:5508-58-7; Mw: 350; Lib: <<mainlib>>; Id: 73050; RI: 0.
Hit 25 : <<1,10-Dichlorodecane>>;<<C10H20Cl2>>; MF: 344; RMF: 688; Prob: -1.00; CAS:2162-98-3; Mw: 210; Lib: <<replib>>; Id: 16236; RI: 0.
Hit 26 : <<1,6-Octadien-3-ol, 3,7-dimethyl-, propanoate>>;<<C13H22O2>>; MF: 335; RMF: 688; Prob: -1.00; CAS:144-39-8; Mw: 210; Lib: <<replib>>; Id: 1305; RI: 1336.
Hit 27 : <<Cleomeolide ketone>>;<<C20H28O3>>; MF: 427; RMF: 687; Prob: -1.00; CAS:72190-22-8; Mw: 316; Lib: <<mainlib>>; Id: 126777; RI: 0.
Hit 28 : <<4-(4-Methylpent-3-enyl)-3,6-dihydro-1,2-dithiin>>;<<C10H16S2>>; MF: 307; RMF: 685; Prob: -1.00; CAS:73188-23-5; Mw: 200; Lib: <<mainlib>>; Id: 3872; RI: 0.
Hit 29 : <<Bicyclo[3.2.0]hept-6-ene>>;<<C7H10>>; MF: 235; RMF: 682; Prob: -1.00; CAS:4927-03-1; Mw: 94; Lib: <<mainlib>>; Id: 60777; RI: 1014.
Hit 30 : <<5,10-Pentadecadiyn-1-ol>>;<<C15H24O>>; MF: 170; RMF: 680; Prob: -1.00; CAS:64275-50-9; Mw: 220; Lib: <<mainlib>>; Id: 73047; RI: 0.
Hit 31 : <<Cyclohexanecarboxaldehyde, 4-(hydroxymethyl)->>;<<C8H14O2>>; MF: 380; RMF: 677; Prob: -1.00; CAS:92385-32-5; Mw: 142; Lib: <<mainlib>>; Id: 62316; RI: 0.
Hit 32 : <<1,4-Bis((oxiran-2-ylmethoxy)methyl)cyclohexane>>;<<C14H24O4>>; MF: 474; RMF: 671; Prob: -1.00; CAS:14228-73-0; Mw: 256; Lib: <<mainlib>>; Id: 85092; RI: 2050.
Hit 33 : <<Diazoprogesterone>>;<<C21H30N4>>; MF: 516; RMF: 670; Prob: -1.00; CAS:0; Mw: 338; Lib: <<mainlib>>; Id: 22694; RI: 0.
Hit 34 : <<Bicyclo[3.1.0]hexan-3-ol, 4-methyl-1-(1-methylethyl)->>;<<C10H18O>>; MF: 441; RMF: 669; Prob: -1.00; CAS:513-23-5; Mw: 154; Lib: <<replib>>; Id: 3633; RI: 1168.
Hit 35 : <<5,10-Pentadecadienal, (Z,Z)->>;<<C15H26O>>; MF: 178; RMF: 668; Prob: -1.00; CAS:64275-49-6; Mw: 222; Lib: <<mainlib>>; Id: 3167; RI: 0.
Hit 36 : <<1,4-Cyclohexanedimethanol>>;<<C8H16O2>>; MF: 408; RMF: 667; Prob: -1.00; CAS:105-08-8; Mw: 144; Lib: <<mainlib>>; Id: 84645; RI: 0.
Hit 37 : <<Isobenzofuran-1(3H)-one, 3-(3-furyl)-3a,4,5,6-tetrahydro-3a,7-dimethyl->>;<<C14H16O3>>; MF: 388; RMF: 665; Prob: -1.00; CAS:0; Mw: 232; Lib: <<mainlib>>; Id: 82633; RI: 0.
Hit 38 : <<1-Nitrosoadamantane>>;<<C10H15NO>>; MF: 194; RMF: 665; Prob: -1.00; CAS:22734-10-7; Mw: 165; Lib: <<mainlib>>; Id: 148618; RI: 0.
Hit 39 : <<Cyclopenta[c]pyran-1,3-dione, 4,4a,5,6-tetrahydro-4,7-dimethyl->>;<<C10H12O3>>; MF: 268; RMF: 664; Prob: -1.00; CAS:66407-26-9; Mw: 180; Lib: <<mainlib>>; Id: 82421; RI: 0.
