Unknown: UnknownID=0|RT=54.14|RI=3244.5                              Compound in Library Factor = N/A
Hit 58 : <<2-Iodoadamantane>>;<<C10H15I>>; MF: 388; RMF: 680; Prob: -1.00; CAS:18971-91-0; Mw: 262; Lib: <<mainlib>>; Id: 147927; RI: 0.
Hit 59 : <<Ethyladamantane-1-carboxylate>>;<<C13H20O2>>; MF: 392; RMF: 679; Prob: -1.00; CAS:2094-73-7; Mw: 208; Lib: <<replib>>; Id: 27043; RI: 0.
Hit 60 : <<2-Methoxycarbonyl-2-methylbrendane>>;<<C12H18O2>>; MF: 373; RMF: 679; Prob: -1.00; CAS:148191-16-6; Mw: 194; Lib: <<mainlib>>; Id: 148641; RI: 0.
Hit 61 : <<Benzene, 1-(1,3-dimethyl-3-butenyl)-4-methoxy->>;<<C13H18O>>; MF: 401; RMF: 677; Prob: -1.00; CAS:74672-05-2; Mw: 190; Lib: <<mainlib>>; Id: 148984; RI: 0.
Hit 62 : <<1-Adamantanecarboxanilide>>;<<C17H21NO>>; MF: 451; RMF: 675; Prob: -1.00; CAS:3796-79-0; Mw: 255; Lib: <<mainlib>>; Id: 151280; RI: 0.
Hit 63 : <<Ethanone, 2-ethoxy-1,2-diphenyl->>;<<C16H16O2>>; MF: 366; RMF: 675; Prob: -1.00; CAS:574-09-4; Mw: 240; Lib: <<replib>>; Id: 27092; RI: 1913.
Hit 64 : <<3,4-(Methylenedioxy)toluene>>;<<C8H8O2>>; MF: 368; RMF: 674; Prob: -1.00; CAS:7145-99-5; Mw: 136; Lib: <<replib>>; Id: 27161; RI: 0.
Hit 65 : <<2-n-Propyladamantane>>;<<C13H22>>; MF: 388; RMF: 669; Prob: -1.00; CAS:14451-88-8; Mw: 178; Lib: <<replib>>; Id: 27046; RI: 1350.
Hit 66 : <<1,3-Benzodioxole, 5-propyl->>;<<C10H12O2>>; MF: 370; RMF: 668; Prob: -1.00; CAS:94-58-6; Mw: 164; Lib: <<replib>>; Id: 27272; RI: 0.
Hit 67 : <<Adamantane-1-carboxylic acid, (4-acetylaminofurazan-3-yl)amide>>;<<C15H20N4O3>>; MF: 398; RMF: 667; Prob: -1.00; CAS:0; Mw: 304; Lib: <<mainlib>>; Id: 147735; RI: 0.
Hit 68 : <<m-Anisic acid, 2-methyloct-5-yn-4-yl ester>>;<<C17H22O3>>; MF: 373; RMF: 667; Prob: -1.00; CAS:0; Mw: 274; Lib: <<mainlib>>; Id: 149149; RI: 1976.
Hit 69 : <<Tricyclo[3.3.1.1(3,7)]decane, 1-nitro->>;<<C10H15NO2>>; MF: 365; RMF: 662; Prob: -1.00; CAS:7575-82-8; Mw: 181; Lib: <<replib>>; Id: 27030; RI: 0.
Hit 70 : <<Benzhydrazide, 2-methoxy-N2-[1-trifluoromethyl-3-oxo-3-(2-thienyl)proilydeno]->>;<<C16H13F3N2O3S>>; MF: 489; RMF: 655; Prob: -1.00; CAS:296243-36-2; Mw: 370; Lib: <<mainlib>>; Id: 148245; RI: 0.
Unknown: UnknownID=1|RT=54.17|RI=3246.6                              Compound in Library Factor = N/A
Hit 1  : <<o-Anisic acid, 4-nitrophenyl ester>>;<<C14H11NO5>>; MF: 590; RMF: 901; Prob: -1.00; CAS:0; Mw: 273; Lib: <<mainlib>>; Id: 148295; RI: 2300.
