Unknown: MZmine_GCMS_apolar_49-54min_to_NIST.mgf file offset = 00000000Compound in Library Factor = N/A
Hit 42 : <<Ethanone, 1-(2-thienyl)->>;<<C6H6OS>>; MF: 298; RMF: 422; Prob: -1.00; CAS:88-15-3; Mw: 126; Lib: <<replib>>; Id: 22078; RI: 1092.
Hit 43 : <<2,5-Dihydro-5-methoxy-2-furanone>>;<<C5H6O3>>; MF: 252; RMF: 421; Prob: -1.00; CAS:10449-66-8; Mw: 114; Lib: <<mainlib>>; Id: 65415; RI: 0.
Hit 44 : <<N-(5-Nitro-1,3-thiazol-2-yl)-2-thiophenecarboxamide>>;<<C8H5N3O3S2>>; MF: 335; RMF: 417; Prob: -1.00; CAS:3810-35-3; Mw: 255; Lib: <<mainlib>>; Id: 108443; RI: 2461.
Hit 45 : <<ethane, 2,2'-[oxybis(methylenesulfonyl)]bis[1-chloro->>;<<C6H12Cl2O5S2>>; MF: 367; RMF: 416; Prob: -1.00; CAS:0; Mw: 298; Lib: <<mainlib>>; Id: 109508; RI: 0.
Hit 46 : <<2-Thiophenecarboxylic acid, 3,5-dimethylphenyl ester>>;<<C13H12O2S>>; MF: 252; RMF: 414; Prob: -1.00; CAS:0; Mw: 232; Lib: <<mainlib>>; Id: 109997; RI: 1855.
Hit 47 : <<Ethanone, 1-(3-thienyl)->>;<<C6H6OS>>; MF: 371; RMF: 413; Prob: -1.00; CAS:1468-83-3; Mw: 126; Lib: <<mainlib>>; Id: 109383; RI: 1088.
Hit 48 : <<Thiophene-2-carboxylic acid (4-methyl-furazan-3-yl)-amide>>;<<C8H7N3O2S>>; MF: 374; RMF: 409; Prob: -1.00; CAS:0; Mw: 209; Lib: <<mainlib>>; Id: 108425; RI: 0.
Hit 49 : <<2-Butyldimethylsilyloxybut-3-yne>>;<<C10H20OSi>>; MF: 367; RMF: 409; Prob: -1.00; CAS:0; Mw: 184; Lib: <<mainlib>>; Id: 137462; RI: 1022.
Hit 50 : <<Benzenamine, 4-chloro-N-[(4-nitrophenyl)methylene]-, N-oxide>>;<<C13H9ClN2O3>>; MF: 338; RMF: 407; Prob: -1.00; CAS:19865-63-5; Mw: 276; Lib: <<mainlib>>; Id: 135279; RI: 0.
Hit 51 : <<2-Dimethyloctylsilyloxybut-3-yne>>;<<C14H28OSi>>; MF: 364; RMF: 406; Prob: -1.00; CAS:0; Mw: 240; Lib: <<mainlib>>; Id: 137461; RI: 1395.
Hit 52 : <<1-((3-chlorophenyl)sulfonyl)piperazine, N-acetyl->>;<<C12H15ClN2O3S>>; MF: 403; RMF: 403; Prob: -1.00; CAS:0; Mw: 302; Lib: <<mainlib>>; Id: 68766; RI: 2557.
Hit 53 : <<Thiophene-2-carboxylic acid, 2-fluorophenyl ester>>;<<C11H7FO2S>>; MF: 323; RMF: 403; Prob: -1.00; CAS:0; Mw: 222; Lib: <<mainlib>>; Id: 108458; RI: 0.
Hit 54 : <<N,N'-Bis[2,6-dimethylpiperidino]terephthalamide>>;<<C22H34N4O2>>; MF: 298; RMF: 401; Prob: -1.00; CAS:0; Mw: 386; Lib: <<mainlib>>; Id: 109396; RI: 0.
Hit 55 : <<1-(3-Ethoxy-2-methyl-acryloyl)-3-(2-hydroxy-ethyl)-urea>>;<<C9H16N2O4>>; MF: 278; RMF: 401; Prob: -1.00; CAS:0; Mw: 216; Lib: <<mainlib>>; Id: 111539; RI: 0.
Hit 56 : <<5-Nitro-2-thienylmethylenecyclohexanecarboxylic hydrazide>>;<<C12H15N3O3S>>; MF: 359; RMF: 400; Prob: -1.00; CAS:42826-29-9; Mw: 281; Lib: <<mainlib>>; Id: 65094; RI: 0.
Hit 57 : <<N-(2-Fluoro-5-nitrophenyl)-2-thiophenecarboxamide>>;<<C11H7FN2O3S>>; MF: 367; RMF: 397; Prob: -1.00; CAS:0; Mw: 266; Lib: <<mainlib>>; Id: 108465; RI: 0.
Hit 58 : <<Thiophene-2-carboxylic acid, 2-acetylphenyl ester>>;<<C13H10O3S>>; MF: 318; RMF: 396; Prob: -1.00; CAS:77708-28-2; Mw: 246; Lib: <<mainlib>>; Id: 108452; RI: 0.
Hit 59 : <<2-Thiophenecarboxylic acid, 4-chlorophenyl ester>>;<<C11H7ClO2S>>; MF: 298; RMF: 395; Prob: -1.00; CAS:0; Mw: 238; Lib: <<mainlib>>; Id: 110020; RI: 1829.
Hit 60 : <<1,3-Benzenediol, o-(thiophene-2-carbonyl)->>;<<C11H8O3S>>; MF: 240; RMF: 395; Prob: -1.00; CAS:0; Mw: 220; Lib: <<mainlib>>; Id: 109963; RI: 0.
Hit 61 : <<2-Dimethyldodecylsilyloxybut-3-yne>>;<<C18H36OSi>>; MF: 353; RMF: 393; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 137463; RI: 1787.
Hit 62 : <<2-Cyclohexyldimethylsilyloxybut-3-yne>>;<<C12H22OSi>>; MF: 353; RMF: 393; Prob: -1.00; CAS:0; Mw: 210; Lib: <<mainlib>>; Id: 137464; RI: 1258.
Hit 63 : <<N-(6-Bromo-2-benzothiazolyl)-2-thiophenecarboxamide>>;<<C12H7BrN2OS2>>; MF: 263; RMF: 391; Prob: -1.00; CAS:313405-20-8; Mw: 338; Lib: <<mainlib>>; Id: 108397; RI: 0.
Hit 64 : <<à-D-Glucofuranose, 1,2:3,5-bis-O-(1-methylethylidene)->>;<<C12H20O6>>; MF: 204; RMF: 391; Prob: -1.00; CAS:28528-94-1; Mw: 260; Lib: <<replib>>; Id: 22363; RI: 0.
Hit 65 : <<Thiophene-2-carboxamide, N-(3-cyanophenyl)->>;<<C12H8N2OS>>; MF: 360; RMF: 390; Prob: -1.00; CAS:137272-72-1; Mw: 228; Lib: <<mainlib>>; Id: 108520; RI: 0.
Hit 66 : <<Butanediamide, 2-methylene->>;<<C5H8N2O2>>; MF: 269; RMF: 389; Prob: -1.00; CAS:3786-29-6; Mw: 128; Lib: <<mainlib>>; Id: 2190; RI: 0.
Hit 67 : <<2-Thiophenecarboxylic acid, 3-methylphenyl ester>>;<<C12H10O2S>>; MF: 237; RMF: 389; Prob: -1.00; CAS:0; Mw: 218; Lib: <<mainlib>>; Id: 109950; RI: 1752.
Hit 68 : <<2-Thiophenecarboxylic acid, 4-isopropylphenyl ester>>;<<C14H14O2S>>; MF: 237; RMF: 389; Prob: -1.00; CAS:0; Mw: 246; Lib: <<mainlib>>; Id: 110042; RI: 0.
Hit 69 : <<Thiophene-2-carboxylic acid, 2,6-dimethyl-4-(2,2,2-trifluoro-1-hydroxy-1-trifluoromethylethyl)phenyl ester>>;<<C16H12F6O3S>>; MF: 355; RMF: 388; Prob: -1.00; CAS:0; Mw: 398; Lib: <<mainlib>>; Id: 108467; RI: 0.
Hit 70 : <<Methyl 3,5-diphenyl-1-pyrroline-4-carboxylate (3,4-trans-4,5-cis)>>;<<C18H17NO2>>; MF: 329; RMF: 388; Prob: -1.00; CAS:0; Mw: 279; Lib: <<mainlib>>; Id: 65903; RI: 0.
Unknown: MZmine_GCMS_apolar_49-54min_to_NIST.mgf file offset = 0x0000c4Compound in Library Factor = N/A
Hit 1  : <<1-Decanol, 2-hexyl->>;<<C16H34O>>; MF: 764; RMF: 788; Prob: -1.00; CAS:2425-77-6; Mw: 242; Lib: <<replib>>; Id: 7294; RI: 1796.
Hit 2  : <<1-Eicosanol>>;<<C20H42O>>; MF: 741; RMF: 765; Prob: -1.00; CAS:629-96-9; Mw: 298; Lib: <<replib>>; Id: 2509; RI: 2282.
Hit 3  : <<Oxalic acid, allyl octadecyl ester>>;<<C23H42O4>>; MF: 729; RMF: 764; Prob: -1.00; CAS:0; Mw: 382; Lib: <<mainlib>>; Id: 2846; RI: 0.
Hit 4  : <<1-Tricosene>>;<<C23H46>>; MF: 706; RMF: 764; Prob: -1.00; CAS:18835-32-0; Mw: 322; Lib: <<replib>>; Id: 2525; RI: 2291.
Hit 5  : <<2-Nonadecanol>>;<<C19H40O>>; MF: 739; RMF: 762; Prob: -1.00; CAS:26533-36-8; Mw: 284; Lib: <<mainlib>>; Id: 19715; RI: 0.
Hit 6  : <<11-Tricosene>>;<<C23H46>>; MF: 604; RMF: 762; Prob: -1.00; CAS:52078-56-5; Mw: 322; Lib: <<mainlib>>; Id: 6711; RI: 2287.
Hit 7  : <<1-Docosene>>;<<C22H44>>; MF: 735; RMF: 759; Prob: -1.00; CAS:1599-67-3; Mw: 308; Lib: <<replib>>; Id: 5934; RI: 2194.
Hit 8  : <<Pentacos-1-ene>>;<<C25H50>>; MF: 707; RMF: 758; Prob: -1.00; CAS:16980-85-1; Mw: 350; Lib: <<mainlib>>; Id: 22772; RI: 2492.
Hit 9  : <<Nonacos-1-ene>>;<<C29H58>>; MF: 734; RMF: 757; Prob: -1.00; CAS:18835-35-3; Mw: 406; Lib: <<mainlib>>; Id: 27766; RI: 2885.
Hit 10 : <<2-Pentadecanol>>;<<C15H32O>>; MF: 732; RMF: 755; Prob: -1.00; CAS:1653-34-5; Mw: 228; Lib: <<mainlib>>; Id: 19673; RI: 1710.
Hit 11 : <<Oxalic acid, allyl pentadecyl ester>>;<<C20H36O4>>; MF: 703; RMF: 751; Prob: -1.00; CAS:0; Mw: 340; Lib: <<mainlib>>; Id: 2844; RI: 0.
Hit 12 : <<1-Nonadecene>>;<<C19H38>>; MF: 723; RMF: 747; Prob: -1.00; CAS:18435-45-5; Mw: 266; Lib: <<replib>>; Id: 1052; RI: 1893.
Hit 13 : <<10-Heneicosene (c,t)>>;<<C21H42>>; MF: 709; RMF: 746; Prob: -1.00; CAS:95008-11-0; Mw: 294; Lib: <<mainlib>>; Id: 22720; RI: 0.
Hit 14 : <<1-Hexacosene>>;<<C26H52>>; MF: 709; RMF: 746; Prob: -1.00; CAS:18835-33-1; Mw: 364; Lib: <<replib>>; Id: 7333; RI: 2595.
Hit 15 : <<1-Hexadecanol>>;<<C16H34O>>; MF: 717; RMF: 741; Prob: -1.00; CAS:36653-82-4; Mw: 242; Lib: <<mainlib>>; Id: 23386; RI: 1880.
Hit 16 : <<Dichloroacetic acid, tetradecyl ester>>;<<C16H30Cl2O2>>; MF: 717; RMF: 741; Prob: -1.00; CAS:83005-02-1; Mw: 324; Lib: <<mainlib>>; Id: 8542; RI: 0.
Hit 17 : <<1-Tetracosene>>;<<C24H48>>; MF: 714; RMF: 738; Prob: -1.00; CAS:10192-32-2; Mw: 336; Lib: <<replib>>; Id: 2718; RI: 2394.
Hit 18 : <<Dichloroacetic acid, tridecyl ester>>;<<C15H28Cl2O2>>; MF: 714; RMF: 737; Prob: -1.00; CAS:0; Mw: 310; Lib: <<mainlib>>; Id: 8504; RI: 0.
Hit 19 : <<Heptacos-1-ene>>;<<C27H54>>; MF: 714; RMF: 737; Prob: -1.00; CAS:15306-27-1; Mw: 378; Lib: <<mainlib>>; Id: 27748; RI: 2693.
Hit 20 : <<Octadecane, 1-(ethenyloxy)->>;<<C20H40O>>; MF: 724; RMF: 736; Prob: -1.00; CAS:930-02-9; Mw: 296; Lib: <<mainlib>>; Id: 27775; RI: 0.
Hit 21 : <<Hexadecane, 1-(ethenyloxy)->>;<<C18H36O>>; MF: 723; RMF: 736; Prob: -1.00; CAS:822-28-6; Mw: 268; Lib: <<mainlib>>; Id: 27745; RI: 0.
Hit 22 : <<3-Eicosene, (E)->>;<<C20H40>>; MF: 712; RMF: 735; Prob: -1.00; CAS:74685-33-9; Mw: 280; Lib: <<mainlib>>; Id: 28879; RI: 0.
Hit 23 : <<Henicosan-2-ol>>;<<C21H44O>>; MF: 709; RMF: 735; Prob: -1.00; CAS:121232-91-5; Mw: 312; Lib: <<mainlib>>; Id: 19705; RI: 2308.
Hit 24 : <<1-Chloro-2-dodecyloxyethane>>;<<C14H29ClO>>; MF: 655; RMF: 735; Prob: -1.00; CAS:29677-36-9; Mw: 248; Lib: <<mainlib>>; Id: 27751; RI: 0.
Hit 25 : <<1-Heptadecene>>;<<C17H34>>; MF: 697; RMF: 732; Prob: -1.00; CAS:6765-39-5; Mw: 238; Lib: <<replib>>; Id: 2165; RI: 1692.
Hit 26 : <<Oxalic acid, allyl tetradecyl ester>>;<<C19H34O4>>; MF: 708; RMF: 731; Prob: -1.00; CAS:0; Mw: 326; Lib: <<mainlib>>; Id: 3436; RI: 0.
Hit 27 : <<1-Hexyl-1-nitrocyclohexane>>;<<C12H23NO2>>; MF: 459; RMF: 730; Prob: -1.00; CAS:118252-09-8; Mw: 213; Lib: <<mainlib>>; Id: 23973; RI: 0.
Hit 28 : <<Trichloroacetic acid, decyl ester>>;<<C12H21Cl3O2>>; MF: 672; RMF: 729; Prob: -1.00; CAS:65611-33-8; Mw: 302; Lib: <<mainlib>>; Id: 7885; RI: 1783.
Hit 29 : <<Dodecyl nonyl ether>>;<<C21H44O>>; MF: 715; RMF: 728; Prob: -1.00; CAS:0; Mw: 312; Lib: <<mainlib>>; Id: 29063; RI: 2158.
Hit 30 : <<5-Eicosene, (E)->>;<<C20H40>>; MF: 704; RMF: 727; Prob: -1.00; CAS:74685-30-6; Mw: 280; Lib: <<mainlib>>; Id: 23053; RI: 2286.
Hit 31 : <<1-Octadecanol>>;<<C18H38O>>; MF: 704; RMF: 727; Prob: -1.00; CAS:112-92-5; Mw: 270; Lib: <<replib>>; Id: 3420; RI: 2082.
Hit 32 : <<Tricosan-2-ol>>;<<C23H48O>>; MF: 699; RMF: 726; Prob: -1.00; CAS:39754-77-3; Mw: 340; Lib: <<replib>>; Id: 5035; RI: 2511.
Hit 33 : <<17-Pentatriacontene>>;<<C35H70>>; MF: 688; RMF: 726; Prob: -1.00; CAS:6971-40-0; Mw: 490; Lib: <<replib>>; Id: 2708; RI: 0.
Hit 34 : <<Hexadecyl octyl ether>>;<<C24H50O>>; MF: 711; RMF: 724; Prob: -1.00; CAS:0; Mw: 354; Lib: <<mainlib>>; Id: 29068; RI: 2459.
Hit 35 : <<2-Methyl-E-7-octadecene>>;<<C19H38>>; MF: 677; RMF: 724; Prob: -1.00; CAS:0; Mw: 266; Lib: <<mainlib>>; Id: 27806; RI: 0.
Hit 36 : <<Heptadecyl heptafluorobutyrate>>;<<C21H35F7O2>>; MF: 710; RMF: 723; Prob: -1.00; CAS:959085-66-6; Mw: 452; Lib: <<mainlib>>; Id: 27756; RI: 1940.
Hit 37 : <<Nonyl tetradecyl ether>>;<<C23H48O>>; MF: 710; RMF: 723; Prob: -1.00; CAS:0; Mw: 340; Lib: <<mainlib>>; Id: 29064; RI: 2358.
Hit 38 : <<9-Hexacosene>>;<<C26H52>>; MF: 701; RMF: 723; Prob: -1.00; CAS:71502-22-2; Mw: 364; Lib: <<mainlib>>; Id: 11738; RI: 0.
Hit 39 : <<1-Heneicosyl formate>>;<<C22H44O2>>; MF: 700; RMF: 723; Prob: -1.00; CAS:77899-03-7; Mw: 340; Lib: <<mainlib>>; Id: 28107; RI: 0.
Hit 40 : <<Oxirane, tetradecyl->>;<<C16H32O>>; MF: 701; RMF: 722; Prob: -1.00; CAS:7320-37-8; Mw: 240; Lib: <<replib>>; Id: 1496; RI: 1676.
Hit 41 : <<Trichloroacetic acid, hexadecyl ester>>;<<C18H33Cl3O2>>; MF: 699; RMF: 722; Prob: -1.00; CAS:74339-54-1; Mw: 386; Lib: <<mainlib>>; Id: 8564; RI: 2405.
Hit 42 : <<Trifluoroacetoxy hexadecane>>;<<C18H33F3O2>>; MF: 707; RMF: 720; Prob: -1.00; CAS:6222-03-3; Mw: 338; Lib: <<mainlib>>; Id: 27774; RI: 1813.
Hit 43 : <<9-Eicosene, (E)->>;<<C20H40>>; MF: 697; RMF: 720; Prob: -1.00; CAS:74685-29-3; Mw: 280; Lib: <<mainlib>>; Id: 28419; RI: 0.
Hit 44 : <<Oxirane, [(dodecyloxy)methyl]->>;<<C15H30O2>>; MF: 707; RMF: 719; Prob: -1.00; CAS:2461-18-9; Mw: 242; Lib: <<replib>>; Id: 7321; RI: 1802.
Hit 45 : <<Oxalic acid, cyclobutyl octadecyl ester>>;<<C24H44O4>>; MF: 696; RMF: 719; Prob: -1.00; CAS:0; Mw: 396; Lib: <<mainlib>>; Id: 23039; RI: 0.
Hit 46 : <<Nonadecyl pentafluoropropionate>>;<<C22H39F5O2>>; MF: 706; RMF: 718; Prob: -1.00; CAS:0; Mw: 430; Lib: <<mainlib>>; Id: 30125; RI: 2100.
Hit 47 : <<Heptadecyl trifluoroacetate>>;<<C19H35F3O2>>; MF: 705; RMF: 718; Prob: -1.00; CAS:0; Mw: 352; Lib: <<mainlib>>; Id: 27763; RI: 1909.
Hit 48 : <<Octadecyl trifluoroacetate>>;<<C20H37F3O2>>; MF: 705; RMF: 718; Prob: -1.00; CAS:79392-43-1; Mw: 366; Lib: <<mainlib>>; Id: 27771; RI: 2007.
Hit 49 : <<Trichloroacetic acid, tetradecyl ester>>;<<C16H29Cl3O2>>; MF: 695; RMF: 718; Prob: -1.00; CAS:74339-52-9; Mw: 358; Lib: <<mainlib>>; Id: 8558; RI: 2196.
Hit 50 : <<Hexadecyl nonyl ether>>;<<C25H52O>>; MF: 705; RMF: 717; Prob: -1.00; CAS:0; Mw: 368; Lib: <<mainlib>>; Id: 29280; RI: 2555.
Hit 51 : <<1-Heneicosanol>>;<<C21H44O>>; MF: 704; RMF: 717; Prob: -1.00; CAS:15594-90-8; Mw: 312; Lib: <<mainlib>>; Id: 23080; RI: 2380.
Hit 52 : <<Trifluoroacetic acid, pentadecyl ester>>;<<C17H31F3O2>>; MF: 704; RMF: 717; Prob: -1.00; CAS:959010-23-2; Mw: 324; Lib: <<mainlib>>; Id: 28460; RI: 1722.
