Unknown: UnknownID=0|RT=38.325|RI=2744.1                             Compound in Library Factor = N/A
Hit 12 : <<trans-3-Methylcyclohexanol>>;<<C7H14O>>; MF: 444; RMF: 722; Prob: -1.00; CAS:7443-55-2; Mw: 114; Lib: <<mainlib>>; Id: 45089; RI: 964.
Hit 13 : <<1H-Pyrrole, 1-butyl->>;<<C8H13N>>; MF: 572; RMF: 708; Prob: -1.00; CAS:589-33-3; Mw: 123; Lib: <<replib>>; Id: 14344; RI: 0.
Hit 14 : <<7-Thioxo-1,7-dihydro-triazolo(4,3-b)-triazine>>;<<C4H3N5S>>; MF: 276; RMF: 704; Prob: -1.00; CAS:21119-72-2; Mw: 153; Lib: <<mainlib>>; Id: 177514; RI: 0.
Hit 15 : <<Ethanone, 1-[3-[[5-(3,3-dimethyloxiranyl)-3-methyl-2-pentenyl]oxy]phenyl]-, (E)-ñ->>;<<C18H24O3>>; MF: 457; RMF: 685; Prob: -1.00; CAS:106929-49-1; Mw: 288; Lib: <<mainlib>>; Id: 9905; RI: 0.
Hit 16 : <<Oxirane, hexyl->>;<<C8H16O>>; MF: 511; RMF: 684; Prob: -1.00; CAS:2984-50-1; Mw: 128; Lib: <<mainlib>>; Id: 44121; RI: 0.
Hit 17 : <<Cyclohexene 3-(tert-butyl)peroxide>>;<<C10H18O2>>; MF: 495; RMF: 684; Prob: -1.00; CAS:51437-25-3; Mw: 170; Lib: <<mainlib>>; Id: 61911; RI: 0.
Hit 18 : <<Cyclohexane, 1,2-dichloro-, trans->>;<<C6H10Cl2>>; MF: 486; RMF: 682; Prob: -1.00; CAS:822-86-6; Mw: 152; Lib: <<replib>>; Id: 14335; RI: 0.
Hit 19 : <<Furfuryl formate>>;<<C6H6O3>>; MF: 447; RMF: 681; Prob: -1.00; CAS:13493-97-5; Mw: 126; Lib: <<mainlib>>; Id: 62018; RI: 902.
Hit 20 : <<cis-3-Methylcyclohexanol>>;<<C7H14O>>; MF: 490; RMF: 679; Prob: -1.00; CAS:5454-79-5; Mw: 114; Lib: <<mainlib>>; Id: 45080; RI: 964.
Hit 21 : <<6-Heptene-1-nitrile>>;<<C7H11N>>; MF: 512; RMF: 675; Prob: -1.00; CAS:5048-25-9; Mw: 109; Lib: <<replib>>; Id: 1529; RI: 0.
Hit 22 : <<4-Imidazolacetic acid, butyl ester>>;<<C9H14N2O2>>; MF: 354; RMF: 674; Prob: -1.00; CAS:99133-89-8; Mw: 182; Lib: <<mainlib>>; Id: 62567; RI: 0.
Hit 23 : <<2H-Pyran-2-carboxylic acid, 3,6-dihydro-6-methoxy-, methyl ester>>;<<C8H12O4>>; MF: 443; RMF: 670; Prob: -1.00; CAS:22870-43-5; Mw: 172; Lib: <<mainlib>>; Id: 62945; RI: 0.
