Unknown: MZmine_GCMS_apolar_54-56min_to_NIST.mgf file offset = 00000000Compound in Library Factor = N/A
Hit 39 : <<Octadecanedioic acid, 3,16-dioxo-, dimethyl ester>>;<<C20H34O6>>; MF: 290; RMF: 421; Prob: -1.00; CAS:51414-51-8; Mw: 370; Lib: <<mainlib>>; Id: 265398; RI: 0.
Hit 40 : <<1,4-Benzoguinone, 2,6-diethyl-, 1-imine>>;<<C10H13NO>>; MF:  67; RMF: 419; Prob: -1.00; CAS:108451-26-9; Mw: 163; Lib: <<mainlib>>; Id: 125630; RI: 0.
Hit 41 : <<Benzenemethanamine, N-[[[4-hydroxyphenyl]ethyl]carbonyl]->>;<<C16H17NO2>>; MF:  84; RMF: 418; Prob: -1.00; CAS:74454-78-7; Mw: 255; Lib: <<mainlib>>; Id: 265519; RI: 0.
Hit 42 : <<Spiro[azetidine-2,9'-fluoren]-4-one, 3-ethyl-1,3-diphenyl->>;<<C29H23NO>>; MF:  91; RMF: 416; Prob: -1.00; CAS:15183-53-6; Mw: 401; Lib: <<mainlib>>; Id: 265669; RI: 0.
Hit 43 : <<Phthalic acid, 4-methoxyphenyl methyl ester>>;<<C16H14O5>>; MF: 120; RMF: 413; Prob: -1.00; CAS:0; Mw: 286; Lib: <<mainlib>>; Id: 190301; RI: 0.
Hit 44 : <<Benzamide, 4-amino-N-2-pyridinyl->>;<<C12H11N3O>>; MF:  65; RMF: 413; Prob: -1.00; CAS:7467-42-7; Mw: 213; Lib: <<mainlib>>; Id: 124580; RI: 0.
Hit 45 : <<2-Pyridylamidoxime, N-heptafluorobutyryl->>;<<C10H6F7N3O2>>; MF: 126; RMF: 408; Prob: -1.00; CAS:0; Mw: 333; Lib: <<mainlib>>; Id: 60257; RI: 1229.
Hit 46 : <<s-Triazolo[4,3-a]pyrazine, 3-amino-5,8-dimethyl->>;<<C7H9N5>>; MF:  66; RMF: 408; Prob: -1.00; CAS:19855-02-8; Mw: 163; Lib: <<mainlib>>; Id: 189712; RI: 0.
Hit 47 : <<6-Hydrazino-2,4-dimethyl-5,7-diazabenzofuran>>;<<C8H10N4O>>; MF:  66; RMF: 408; Prob: -1.00; CAS:120455-71-2; Mw: 178; Lib: <<mainlib>>; Id: 189630; RI: 0.
Hit 48 : <<Pyrido[4,3-d]pyrimidine-2,4(1H,3H)-dione>>;<<C7H5N3O2>>; MF:  66; RMF: 408; Prob: -1.00; CAS:16952-65-1; Mw: 163; Lib: <<mainlib>>; Id: 125634; RI: 0.
Hit 49 : <<3,5,6-Tris(trifluoromethyl)-1-nitrocyclohexa-1,4-diene>>;<<C9H4F9NO2>>; MF:  92; RMF: 407; Prob: -1.00; CAS:199939-12-3; Mw: 329; Lib: <<mainlib>>; Id: 240681; RI: 0.
Hit 50 : <<Succinic acid, 2,2,3,3,4,4,5,5-octafluoropentyl 2-chlorophenyl ester>>;<<C15H11ClF8O4>>; MF: 162; RMF: 406; Prob: -1.00; CAS:0; Mw: 442; Lib: <<mainlib>>; Id: 287921; RI: 1884.
Hit 51 : <<2-Amino-4,5-dimethoxybenzonitrile>>;<<C9H10N2O2>>; MF:  99; RMF: 406; Prob: -1.00; CAS:26961-27-3; Mw: 178; Lib: <<mainlib>>; Id: 190430; RI: 1752.
Hit 52 : <<2-Amino-5-methoxybenzimidazole>>;<<C8H9N3O>>; MF:  65; RMF: 406; Prob: -1.00; CAS:6232-91-3; Mw: 163; Lib: <<mainlib>>; Id: 190162; RI: 0.
Hit 53 : <<2-(E)-Heptenoic acid, (4S)-4-[((S)-phenylalanyl)amino]-6-methyl->>;<<C17H24N2O3>>; MF: 103; RMF: 405; Prob: -1.00; CAS:0; Mw: 304; Lib: <<mainlib>>; Id: 125778; RI: 0.
Hit 54 : <<Butylphosphonic acid, 2-chlorophenyl propyl ester>>;<<C13H20ClO3P>>; MF: 143; RMF: 403; Prob: -1.00; CAS:0; Mw: 290; Lib: <<mainlib>>; Id: 241241; RI: 0.
Hit 55 : <<Acetanilide, 2'-(1-methylacetonyl)->>;<<C12H15NO2>>; MF:  65; RMF: 403; Prob: -1.00; CAS:14300-16-4; Mw: 205; Lib: <<mainlib>>; Id: 124502; RI: 0.
Hit 56 : <<Silane, diphenyldi(2-methoxyethoxy)->>;<<C18H24O4Si>>; MF: 122; RMF: 401; Prob: -1.00; CAS:0; Mw: 332; Lib: <<mainlib>>; Id: 265594; RI: 2123.
Hit 57 : <<3-pyridinecarbonitrile, 2-amino-1,6-dihydro-1,4-dimethyl-6-oxo->>;<<C8H9N3O>>; MF:  64; RMF: 401; Prob: -1.00; CAS:0; Mw: 163; Lib: <<mainlib>>; Id: 190093; RI: 0.
Hit 58 : <<3-Hydroxy-3-methyl-2,3-dihydro-1H-indol-2-one>>;<<C9H9NO2>>; MF:  64; RMF: 400; Prob: -1.00; CAS:3040-34-4; Mw: 163; Lib: <<mainlib>>; Id: 125415; RI: 1606.
Hit 59 : <<2H-Benzimidazole, 2,2-dimethyl-, 1,3-dioxide>>;<<C9H10N2O2>>; MF:  83; RMF: 396; Prob: -1.00; CAS:31980-12-8; Mw: 178; Lib: <<mainlib>>; Id: 207092; RI: 0.
Hit 60 : <<Pyrrolidine-2,5-dione, 1-[[(4-methoxycarbonylphenyl)amino]methyl]->>;<<C13H14N2O4>>; MF:  77; RMF: 394; Prob: -1.00; CAS:0; Mw: 262; Lib: <<mainlib>>; Id: 125381; RI: 0.
Hit 61 : <<N,N-Dimethyl-4-(methylamino)benzenemethanamine>>;<<C10H16N2>>; MF:  63; RMF: 393; Prob: -1.00; CAS:1343001-27-3; Mw: 164; Lib: <<mainlib>>; Id: 125639; RI: 1443.
Hit 62 : <<3-(5-Furan-2-yl-[1,2,4]oxadiazol-3-yl)-pyridine>>;<<C11H7N3O2>>; MF:  62; RMF: 393; Prob: -1.00; CAS:0; Mw: 213; Lib: <<mainlib>>; Id: 125776; RI: 0.
Hit 63 : <<Benzonitrile, 2,4-dimethoxy->>;<<C9H9NO2>>; MF:  63; RMF: 391; Prob: -1.00; CAS:4107-65-7; Mw: 163; Lib: <<mainlib>>; Id: 190072; RI: 0.
Hit 64 : <<1,4-Benzenedicarboxylic acid, dimethyl ester>>;<<C10H10O4>>; MF:  63; RMF: 391; Prob: -1.00; CAS:120-61-6; Mw: 194; Lib: <<replib>>; Id: 31979; RI: 1515.
Hit 65 : <<Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]->>;<<C11H14O2>>; MF:  81; RMF: 389; Prob: -1.00; CAS:54549-72-3; Mw: 178; Lib: <<mainlib>>; Id: 189647; RI: 1432.
Hit 66 : <<Acetamide, N-methyl-N-(4-methylphenyl)->>;<<C10H13NO>>; MF:  75; RMF: 383; Prob: -1.00; CAS:612-03-3; Mw: 163; Lib: <<mainlib>>; Id: 127111; RI: 0.
Hit 67 : <<Acetamide, N-(2,4-dimethylphenyl)->>;<<C10H13NO>>; MF:  61; RMF: 382; Prob: -1.00; CAS:2050-43-3; Mw: 163; Lib: <<mainlib>>; Id: 127910; RI: 0.
Hit 68 : <<6-Amino-2,4-dimethyl-5,7-diazabenzofuran>>;<<C8H9N3O>>; MF:  61; RMF: 379; Prob: -1.00; CAS:22727-43-1; Mw: 163; Lib: <<mainlib>>; Id: 189652; RI: 0.
Hit 69 : <<2-(E)-Heptenoic acid, (4S)-4-[((R)-phenylalanyl)amino]-6-methyl->>;<<C17H24N2O3>>; MF:  96; RMF: 377; Prob: -1.00; CAS:0; Mw: 304; Lib: <<mainlib>>; Id: 125774; RI: 0.
Hit 70 : <<Benzamide, 4-amino-N-ethyl->>;<<C9H12N2O>>; MF:  60; RMF: 376; Prob: -1.00; CAS:89399-17-7; Mw: 164; Lib: <<mainlib>>; Id: 125637; RI: 0.
Unknown: MZmine_GCMS_apolar_54-56min_to_NIST.mgf file offset = 0x000108Compound in Library Factor = N/A
Hit 1  : <<Ergost-5-en-3-ol, (3á)->>;<<C28H48O>>; MF: 892; RMF: 920; Prob: -1.00; CAS:4651-51-8; Mw: 400; Lib: <<mainlib>>; Id: 8023; RI: 2632.
Hit 2  : <<Campesterol>>;<<C28H48O>>; MF: 915; RMF: 915; Prob: -1.00; CAS:474-62-4; Mw: 400; Lib: <<mainlib>>; Id: 7857; RI: 3276.
Hit 3  : <<5-Cholestene-3-ol, 24-methyl->>;<<C28H48O>>; MF: 881; RMF: 882; Prob: -1.00; CAS:290299-12-6; Mw: 400; Lib: <<mainlib>>; Id: 7954; RI: 0.
Hit 4  : <<(3E,5E,7E)-6-Methyl-8-(2,6,6-trimethyl-1-cyclohexenyl)-3,5,7-octatrien-2-one>>;<<C18H26O>>; MF: 340; RMF: 861; Prob: -1.00; CAS:17974-57-1; Mw: 258; Lib: <<mainlib>>; Id: 12448; RI: 0.
Hit 5  : <<5á,6á-Epoxycholest-7-en-3á-ol>>;<<C27H44O2>>; MF: 694; RMF: 846; Prob: -1.00; CAS:95841-71-7; Mw: 400; Lib: <<mainlib>>; Id: 7924; RI: 0.
Hit 6  : <<ç-Ergostenol>>;<<C28H48O>>; MF: 751; RMF: 840; Prob: -1.00; CAS:516-78-9; Mw: 400; Lib: <<mainlib>>; Id: 301694; RI: 0.
Hit 7  : <<Cholest-5-en-3-ol (3á)-, carbonochloridate>>;<<C28H45ClO2>>; MF: 649; RMF: 828; Prob: -1.00; CAS:7144-08-3; Mw: 448; Lib: <<replib>>; Id: 14462; RI: 0.
Hit 8  : <<Ergost-5-en-3-ol, acetate, (3á,24R)->>;<<C30H50O2>>; MF: 709; RMF: 827; Prob: -1.00; CAS:0; Mw: 442; Lib: <<mainlib>>; Id: 6584; RI: 3289.
Hit 9  : <<Thunbergol>>;<<C20H34O>>; MF: 633; RMF: 817; Prob: -1.00; CAS:25269-17-4; Mw: 290; Lib: <<mainlib>>; Id: 10603; RI: 2073.
Hit 10 : <<Cholesterol>>;<<C27H46O>>; MF: 706; RMF: 814; Prob: -1.00; CAS:57-88-5; Mw: 386; Lib: <<replib>>; Id: 2550; RI: 3087.
Hit 11 : <<Retinal>>;<<C20H28O>>; MF: 608; RMF: 814; Prob: -1.00; CAS:116-31-4; Mw: 284; Lib: <<mainlib>>; Id: 75162; RI: 0.
Hit 12 : <<1,3,6,10-Cyclotetradecatetraene, 3,7,11-trimethyl-14-(1-methylethyl)-, [S-(E,Z,E,E)]->>;<<C20H32>>; MF: 602; RMF: 813; Prob: -1.00; CAS:1898-13-1; Mw: 272; Lib: <<replib>>; Id: 17586; RI: 1939.
